"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"1" 0.119905099014966 0.992542919879348 0.104781522755371 0.51878875126916 -0.134915909209867 36.21321 0
"2" 0.0125891589814363 0.00269211736964042 0.370357033077453 0.394260514212328 0.405009834102705 0 0
"3" 4619.21883626415 4972.39736049573 5861.10084415788 10000 10000 0 0
"4" 12.7556182847755 13.7308936724906 16.1849801333764 27.6142324858802 27.6142324858802 0 0
"5" 0.119706023619872 0.992694182014565 0.0673091108440299 0.505231758031434 -0.131668816695806 45.62201 0
"6" 0.0124455152337334 0.00295383387284022 0.367219026508272 0.3917241248453 0.392699887168082 0 0
"7" 1073.55977776322 62.2088150711367 28.4332786860768 10000 10000 0 0
"8" 2.35316194477889 0.136357023881974 0.0623235992585087 21.9192446803637 21.9192446803637 0 0
"9" 0.120154974070309 0.992572414990848 0.101414986882377 0.518202997563641 -0.129940702488198 36.37639 0
"10" 0.0125186372364285 0.00277861020892499 0.414981884264849 0.39842012657021 0.393634174335819 0 0
"11" 8813.23324888833 10000 10000 10000 10000 0 0
"12" 24.2278941062825 27.4903584440347 27.4903584440347 27.4903584440347 27.4903584440347 0 0
"13" 0.11996308441969 0.992602358917952 0.106150366296393 0.514812628857668 -0.132657995785575 23.63374 0
"14" 0.012564068454319 0.00281798996608792 0.403775917237602 0.399673408623751 0.39940835752449 0 0
"15" 9097.98494348946 10000 10000 10000 10000 0 0
"16" 38.4957477889215 42.3123889828694 42.3123889828694 42.3123889828694 42.3123889828694 0 0
