"grid" "wts" "lkern"
"1" 0 3.62356839956136e-67 -3.3588690967374
"2" 0.00800800800800801 5.36670399384774e-67 -2.96611444410852
"3" 0.016016016016016 7.94789508466652e-67 -2.57342125839763
"4" 0.024024024024024 1.17698167166308e-66 -2.18079003370999
"5" 0.032032032032032 1.74285055309552e-66 -1.78822126812197
"6" 0.04004004004004 2.58061521536432e-66 -1.39571546371286
"7" 0.048048048048048 3.82083950121919e-66 -1.00327312659713
"8" 0.0560560560560561 5.65674434597806e-66 -0.610894766956861
"9" 0.0640640640640641 8.37425727933103e-66 -0.218580899074347
"10" 0.0720720720720721 1.23964637244072e-65 0.173667958634946
"11" 0.0800800800800801 1.83493577406235e-65 0.565851283589118
"12" 0.0880880880880881 2.71590911357879e-65 0.957968549006401
"13" 0.0960960960960961 4.0195800044398e-65 1.35001922387148
"14" 0.104104104104104 5.94863017102702e-65 1.74200277290138
"15" 0.112112112112112 8.80286162520235e-65 2.13391865651126
"16" 0.12012012012012 1.30257025865926e-64 2.52576633077982
"17" 0.128128128128128 1.92729670719428e-64 2.91754524741446
"18" 0.136136136136136 2.85145091442095e-64 3.30925485371621
"19" 0.144144144144144 4.21844972303787e-64 3.70089459254428
"20" 0.152152152152152 6.24035458995551e-64 4.09246390228038
"21" 0.16016016016016 9.23070401812708e-64 4.4839622167928
"22" 0.168168168168168 1.36530381123672e-63 4.87538896540016
"23" 0.176176176176176 2.01926096112514e-63 5.26674357283478
"24" 0.184184184184184 2.98623521915569e-63 5.65802545920591
"25" 0.192192192192192 4.4159458680923e-63 6.04923403996258
"26" 0.2002002002002 6.52967215895974e-63 6.44036872585616
"27" 0.208208208208208 9.65443054392326e-63 6.83142892290265
"28" 0.216216216216216 1.42734624884146e-62 7.22241403234456
"29" 0.224224224224224 2.11008106973344e-62 7.61332345061274
"30" 0.232232232232232 3.11914675076035e-62 8.0041565692875
"31" 0.24024024024024 4.61040494111259e-62 8.39491277505984
"32" 0.248248248248248 6.81410253964985e-62 8.7855914496921
"33" 0.256256256256256 1.00703442091536e-61 9.17619196997838
"34" 0.264264264264264 1.48814671824662e-61 9.56671370770463
"35" 0.272272272272272 2.1989365440504e-61 9.9571560296084
"36" 0.28028028028028 3.24896382411071e-61 10.3475182973384
"37" 0.288288288288288 4.80000851673072e-61 10.7377998674135
"38" 0.296296296296296 7.09094002228791e-61 11.1280000911815
"39" 0.304304304304304 1.04744204739544e-60 11.5181183147779
"40" 0.312312312312312 1.54710680750905e-60 11.9081538790835
"41" 0.32032032032032 2.28493791090456e-60 12.2981061196827
"42" 0.328328328328328 3.37436479811258e-60 12.6879743668208
"43" 0.336336336336336 4.98279349822227e-60 13.0777579453611
"44" 0.344344344344344 7.35726975387433e-60 13.4674561747414
"45" 0.352352352352352 1.08623328291835e-59 13.857068368931
"46" 0.36036036036036 1.60358456290627e-59 14.2465938363863
"47" 0.368368368368368 2.36713300145349e-59 14.6360318800068
"48" 0.376376376376376 3.49393789193483e-59 15.0253817970903
"49" 0.384384384384384 5.15666739994838e-59 15.4146428792879
"50" 0.392392392392392 7.60999147311376e-59 15.8038144125589
"51" 0.4004004004004 1.12294895767031e-58 16.1928956771249
"52" 0.408408408408408 1.65690017673494e-58 16.5818859474236
"53" 0.416416416416416 2.44451573006946e-58 16.9707844920624
"54" 0.424424424424424 3.60619471060168e-58 17.3595905737722
"55" 0.432432432432432 5.31942915122414e-58 17.7483034493592
"56" 0.44044044044044 7.84585145862794e-58 18.1369223696579
"57" 0.448448448448448 1.15710828188526e-57 18.5254465794829
"58" 0.456456456456456 1.70634348880327e-57 18.9138753175812
"59" 0.464464464464464 2.51603756563436e-57 19.3022078165825
"60" 0.472472472472472 3.70958776463574e-57 19.6904433029507
"61" 0.48048048048048 5.4687958209452e-57 20.0785809969343
"62" 0.488488488488488 8.06148324770687e-57 20.4666201125164
"63" 0.496496496496497 1.18821504303091e-56 20.8545598573644
"64" 0.504504504504504 1.75118340815982e-56 21.2423994327794
"65" 0.512512512512513 2.58062184088909e-56 21.6301380336449
"66" 0.520520520520521 3.80253218096577e-56 22.0177748483754
"67" 0.528528528528528 5.6024355269064e-56 22.4053090588643
"68" 0.536536536536537 8.25345747373391e-56 22.7927398404317
"69" 0.544544544544544 1.21576514630122e-55 23.1800663617719
"70" 0.552552552552553 1.79067931196926e-55 23.5672877848993
"71" 0.560560560560561 2.63718096922176e-55 23.9544032650958
"72" 0.568568568568569 3.88343168529984e-55 24.3414119508561
"73" 0.576576576576577 5.71800661450926e-55 24.7283129838332
"74" 0.584584584584585 8.41834089624756e-55 25.1151054987842
"75" 0.592592592592593 1.23925550160634e-54 25.5017886235138
"76" 0.600600600600601 1.82409441455603e-54 25.8883614788194
"77" 0.608608608608609 2.68463654093599e-54 26.2748231784343
"78" 0.616616616616617 3.95070878806004e-54 26.6611728289714
"79" 0.624624624624625 5.81320296447186e-54 27.0474095298656
"80" 0.632632632632633 8.55276435592954e-54 27.4335323733168
"81" 0.640640640640641 1.2581942084463e-53 27.8195404442309
"82" 0.648648648648649 1.85071102118421e-53 28.2054328201621
"83" 0.656656656656657 2.72194215236943e-53 28.5912085712533
"84" 0.664664664664665 4.00283892665183e-53 28.9768667601771
"85" 0.672672672672673 5.88580501846927e-53 29.3624064420753
"86" 0.680680680680681 8.65349897872664e-53 29.747826664499
"87" 0.688688688688689 1.27211192858653e-52 30.1331264673472
"88" 0.696696696696697 1.86984748866425e-52 30.5183048828052
"89" 0.704704704704705 2.74810868223781e-52 30.9033609352838
